                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.0326,                 1.4679,                 2.1913,                0.59567,                0.69845,                0.65414,                0.23284,                 2.2062,                 1.5465,                 2.5487,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.9595,                 1.4285,                 2.1446,                0.70392,                0.69571,                0.64947,                0.22769,                 2.2445,                 1.5508,                  2.655,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.9524,                 1.4837,                 2.2187,                0.54646,                0.57286,                0.55506,                0.18713,                 2.4375,                 1.6969,                 2.8344,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.9693,                 1.4154,                 2.1578,                0.52518,                 0.5821,                0.58414,                0.20214,                 2.4564,                 1.7066,                 2.8544,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.9659,                 1.4545,                 2.1787,                 0.6482,                0.56857,                 0.5802,                 0.2189,                 2.4374,                 1.5716,                 2.8738,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.9178,                 1.3705,                 2.1623,                0.58152,                0.64286,                0.57328,                0.22409,                 2.3483,                 1.5783,                 2.7908,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.9296,                 1.3944,                 2.1113,                0.53239,                0.66036,                0.58553,                0.22731,                 2.3704,                 1.6382,                 2.7555,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.8884,                 1.3733,                 2.0924,                0.47234,                   0.55,                0.51068,                0.16291,                 2.6326,                 1.6676,                 2.9934,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.8524,                 1.3455,                 2.0862,                0.47777,                0.54807,                0.45504,                0.16584,                 2.6081,                 1.6525,                 2.9368,             0.00059429,             0.00059429,             0.00059429
                     68,                  1.905,                 1.3377,                 2.0921,                0.61523,                0.60286,                0.54851,                0.21392,                 2.4129,                 1.4777,                 2.7847,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.8885,                 1.3093,                 2.1102,                0.62833,                0.61714,                0.65294,                0.24263,                  2.392,                 1.4653,                  2.754,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.8844,                 1.3599,                 2.1248,                0.66415,                0.60714,                0.61581,                0.23669,                 2.3245,                 1.5169,                  2.689,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.8239,                 1.3329,                   2.07,                0.58608,                0.62172,                0.58212,                 0.2413,                 2.2444,                 1.5472,                 2.6965,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.8582,                 1.3155,                 2.0939,                0.52761,                0.61143,                0.52945,                0.22546,                 2.2557,                 1.5423,                 2.6699,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.7923,                 1.2747,                 2.0373,                0.58912,                   0.63,                0.61336,                0.23076,                 2.2695,                 1.5384,                  2.654,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.8176,                 1.3175,                 2.0807,                0.64774,                0.64571,                0.63355,                0.23821,                  2.225,                 1.4849,                 2.6273,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.8086,                 1.2958,                 2.0649,                0.68918,                0.58286,                0.62344,                0.26471,                 2.2233,                 1.5114,                  2.646,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.7814,                 1.2897,                 2.0575,                 0.6584,                0.59857,                0.63266,                0.24089,                 2.3579,                 1.4906,                 2.7559,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.8068,                 1.2898,                 2.0813,                0.73397,                 0.6454,                0.66775,                0.29109,                 2.1997,                   1.39,                  2.607,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.8075,                 1.2928,                 2.0607,                 0.6742,                0.69143,                 0.6816,                 0.2731,                 2.1959,                 1.3663,                 2.6226,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.8422,                  1.314,                  2.069,                0.70373,                0.65134,                0.69052,                0.24479,                 2.2818,                 1.4816,                 2.6707,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.7836,                 1.2991,                 2.0764,                0.64288,                0.61143,                0.62902,                0.24462,                 2.2468,                 1.5261,                 2.6788,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.7094,                 1.2111,                 1.9677,                0.65536,                0.58029,                0.61496,                0.23792,                 2.2216,                 1.5231,                  2.678,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.7347,                 1.2255,                 1.9986,                0.60545,                0.60714,                0.58992,                0.21561,                 2.2468,                 1.5127,                 2.6882,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.7431,                  1.235,                 2.0183,                 0.6141,                0.59101,                0.58631,                0.21406,                  2.301,                 1.4654,                 2.7404,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.7573,                 1.2295,                 2.0147,                0.65153,                0.63714,                0.64823,                0.24938,                  2.187,                 1.4487,                  2.653,             0.00031373,             0.00031373,             0.00031373
                     85,                  1.719,                 1.2086,                 1.9977,                0.62682,                0.58656,                 0.5988,                0.21839,                 2.3422,                 1.4871,                 2.7716,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.7383,                 1.2185,                 1.9911,                0.55777,                0.57429,                0.55041,                0.20364,                 2.4794,                 1.4932,                 2.8635,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.7179,                 1.2039,                 1.9574,                0.62174,                0.58429,                0.62526,                0.22621,                 2.4493,                 1.4302,                 2.8272,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.7303,                 1.2194,                 2.0383,                0.64562,                0.57942,                0.60596,                0.22658,                 2.4007,                 1.3932,                 2.8083,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.7207,                 1.2205,                 2.0261,                 0.6331,                0.60857,                0.60236,                0.23736,                 2.3378,                 1.3908,                 2.8009,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.7565,                  1.202,                  1.994,                0.69819,                0.64286,                0.64558,                0.26186,                 2.2101,                 1.3583,                 2.7016,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.6976,                 1.3052,                 2.0404,                0.67968,                0.63953,                0.64086,                0.24176,                 2.2917,                  1.402,                 2.7528,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.6798,                 1.2322,                 1.9701,                 0.5268,                0.56548,                 0.5257,                0.17217,                 2.5083,                 1.5531,                 2.9479,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.7119,                 1.2833,                 2.0194,                0.48183,                0.51028,                0.46947,                0.14968,                 2.5612,                 1.6632,                 3.0085,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.6502,                 1.2001,                 1.9756,                0.41662,                0.48598,                0.44449,                0.16063,                 2.4766,                 1.6653,                 2.9569,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.6326,                 1.1951,                 1.9536,                0.55432,                0.53429,                0.52408,                0.20625,                 2.3293,                 1.5369,                 2.8275,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.6332,                 1.2207,                 1.9679,                0.61395,                0.60857,                0.57257,                0.23716,                 2.2302,                 1.4478,                 2.7316,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.6271,                 1.1889,                  1.948,                0.71429,                0.65286,                0.66634,                0.26201,                 2.2111,                 1.3912,                 2.7046,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.6021,                 1.1568,                  1.927,                0.67348,                0.62857,                0.64074,                0.24507,                 2.2588,                 1.3825,                  2.725,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.6268,                 1.1566,                 1.9167,                0.67855,                0.63737,                0.63718,                0.24411,                  2.274,                 1.3799,                 2.7224,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                  1.626,                 1.1922,                 1.9829,                0.66783,                0.62857,                0.63993,                0.24585,                 2.2668,                 1.3816,                 2.7164,             4.9677e-05,             4.9677e-05,             4.9677e-05
